product_sku,product_name,quantity_on_hand,current_unit_price,created_at,updated_at
SKU-00000001,Product-00000001,327,77.95,2026-08-01T00:01:00+00:00,2026-08-01T00:01:00+00:00
SKU-00000002,Product-00000002,12,490.97,2026-08-01T00:02:00+00:00,2026-08-01T00:02:00+00:00
SKU-00000003,Product-00000003,140,165.48,2026-08-01T00:03:00+00:00,2026-08-01T00:03:00+00:00
SKU-00000004,Product-00000004,114,96.43,2026-08-01T00:04:00+00:00,2026-08-01T00:04:00+00:00
SKU-00000005,Product-00000005,377,72.16,2026-08-01T00:05:00+00:00,2026-08-01T00:05:00+00:00
SKU-00000006,Product-00000006,346,490.39,2026-08-01T00:06:00+00:00,2026-08-01T00:06:00+00:00
SKU-00000007,Product-00000007,456,362.40,2026-08-01T00:07:00+00:00,2026-08-01T00:07:00+00:00
SKU-00000008,Product-00000008,44,391.97,2026-08-01T00:08:00+00:00,2026-08-01T00:08:00+00:00
SKU-00000009,Product-00000009,216,25.81,2026-08-01T00:09:00+00:00,2026-08-01T00:09:00+00:00
SKU-00000010,Product-00000010,15,66.39,2026-08-01T00:10:00+00:00,2026-08-01T00:10:00+00:00
SKU-00000011,Product-00000011,111,157.46,2026-08-01T00:11:00+00:00,2026-08-01T00:11:00+00:00
SKU-00000012,Product-00000012,258,399.52,2026-08-01T00:12:00+00:00,2026-08-01T00:12:00+00:00
SKU-00000013,Product-00000013,13,372.80,2026-08-01T00:13:00+00:00,2026-08-01T00:13:00+00:00
SKU-00000014,Product-00000014,101,474.24,2026-08-01T00:14:00+00:00,2026-08-01T00:14:00+00:00
SKU-00000015,Product-00000015,332,464.61,2026-08-01T00:15:00+00:00,2026-08-01T00:15:00+00:00
SKU-00000016,Product-00000016,279,279.92,2026-08-01T00:16:00+00:00,2026-08-01T00:16:00+00:00
SKU-00000017,Product-00000017,112,299.38,2026-08-01T00:17:00+00:00,2026-08-01T00:17:00+00:00
SKU-00000018,Product-00000018,301,187.30,2026-08-01T00:18:00+00:00,2026-08-01T00:18:00+00:00
SKU-00000019,Product-00000019,414,9.24,2026-08-01T00:19:00+00:00,2026-08-01T00:19:00+00:00
SKU-00000020,Product-00000020,388,109.62,2026-08-01T00:20:00+00:00,2026-08-01T00:20:00+00:00
SKU-00000021,Product-00000021,357,281.95,2026-08-01T00:21:00+00:00,2026-08-01T00:21:00+00:00
SKU-00000022,Product-00000022,174,187.09,2026-08-01T00:22:00+00:00,2026-08-01T00:22:00+00:00
SKU-00000023,Product-00000023,79,146.09,2026-08-01T00:23:00+00:00,2026-08-01T00:23:00+00:00
SKU-00000024,Product-00000024,490,225.58,2026-08-01T00:24:00+00:00,2026-08-01T00:24:00+00:00
SKU-00000025,Product-00000025,52,65.77,2026-08-01T00:25:00+00:00,2026-08-01T00:25:00+00:00
SKU-00000026,Product-00000026,194,68.37,2026-08-01T00:26:00+00:00,2026-08-01T00:26:00+00:00
SKU-00000027,Product-00000027,183,230.40,2026-08-01T00:27:00+00:00,2026-08-01T00:27:00+00:00
SKU-00000028,Product-00000028,309,178.34,2026-08-01T00:28:00+00:00,2026-08-01T00:28:00+00:00
SKU-00000029,Product-00000029,413,33.46,2026-08-01T00:29:00+00:00,2026-08-01T00:29:00+00:00
SKU-00000030,Product-00000030,373,306.07,2026-08-01T00:30:00+00:00,2026-08-01T00:30:00+00:00
SKU-00000031,Product-00000031,274,86.79,2026-08-01T00:31:00+00:00,2026-08-01T00:31:00+00:00
SKU-00000032,Product-00000032,498,253.06,2026-08-01T00:32:00+00:00,2026-08-01T00:32:00+00:00
SKU-00000033,Product-00000033,40,366.77,2026-08-01T00:33:00+00:00,2026-08-01T00:33:00+00:00
SKU-00000034,Product-00000034,150,416.97,2026-08-01T00:34:00+00:00,2026-08-01T00:34:00+00:00
SKU-00000035,Product-00000035,316,241.99,2026-08-01T00:35:00+00:00,2026-08-01T00:35:00+00:00
SKU-00000036,Product-00000036,295,131.00,2026-08-01T00:36:00+00:00,2026-08-01T00:36:00+00:00
SKU-00000037,Product-00000037,360,50.57,2026-08-01T00:37:00+00:00,2026-08-01T00:37:00+00:00
SKU-00000038,Product-00000038,23,438.35,2026-08-01T00:38:00+00:00,2026-08-01T00:38:00+00:00
SKU-00000039,Product-00000039,116,194.64,2026-08-01T00:39:00+00:00,2026-08-01T00:39:00+00:00
SKU-00000040,Product-00000040,40,157.55,2026-08-01T00:40:00+00:00,2026-08-01T00:40:00+00:00
SKU-00000041,Product-00000041,443,71.18,2026-08-01T00:41:00+00:00,2026-08-01T00:41:00+00:00
SKU-00000042,Product-00000042,194,187.16,2026-08-01T00:42:00+00:00,2026-08-01T00:42:00+00:00
SKU-00000043,Product-00000043,232,421.59,2026-08-01T00:43:00+00:00,2026-08-01T00:43:00+00:00
SKU-00000044,Product-00000044,427,244.08,2026-08-01T00:44:00+00:00,2026-08-01T00:44:00+00:00
SKU-00000045,Product-00000045,83,247.59,2026-08-01T00:45:00+00:00,2026-08-01T00:45:00+00:00
SKU-00000046,Product-00000046,181,142.29,2026-08-01T00:46:00+00:00,2026-08-01T00:46:00+00:00
SKU-00000047,Product-00000047,343,179.95,2026-08-01T00:47:00+00:00,2026-08-01T00:47:00+00:00
SKU-00000048,Product-00000048,359,452.95,2026-08-01T00:48:00+00:00,2026-08-01T00:48:00+00:00
SKU-00000049,Product-00000049,331,51.78,2026-08-01T00:49:00+00:00,2026-08-01T00:49:00+00:00
SKU-00000050,Product-00000050,311,421.12,2026-08-01T00:50:00+00:00,2026-08-01T00:50:00+00:00
