order_item_id,order_id,product_sku,quantity,unit_price,created_at
1,1,SKU-00000011,4,157.46,2026-08-01T00:01:00+00:00
2,1,SKU-00000030,3,306.07,2026-08-01T00:01:00+00:00
3,2,SKU-00000044,1,244.08,2026-08-01T00:02:00+00:00
4,2,SKU-00000021,2,281.95,2026-08-01T00:02:00+00:00
5,3,SKU-00000018,3,187.30,2026-08-01T00:03:00+00:00
6,3,SKU-00000005,2,72.16,2026-08-01T00:03:00+00:00
7,3,SKU-00000014,4,474.24,2026-08-01T00:03:00+00:00
8,3,SKU-00000037,4,50.57,2026-08-01T00:03:00+00:00
9,4,SKU-00000017,2,299.38,2026-08-01T00:04:00+00:00
10,4,SKU-00000009,5,25.81,2026-08-01T00:04:00+00:00
11,5,SKU-00000028,2,178.34,2026-08-01T00:05:00+00:00
12,5,SKU-00000038,5,438.35,2026-08-01T00:05:00+00:00
13,5,SKU-00000026,4,68.37,2026-08-01T00:05:00+00:00
14,5,SKU-00000024,1,225.58,2026-08-01T00:05:00+00:00
15,5,SKU-00000015,1,464.61,2026-08-01T00:05:00+00:00
16,6,SKU-00000044,5,244.08,2026-08-01T00:06:00+00:00
17,6,SKU-00000028,1,178.34,2026-08-01T00:06:00+00:00
18,7,SKU-00000030,1,306.07,2026-08-01T00:07:00+00:00
19,7,SKU-00000034,5,416.97,2026-08-01T00:07:00+00:00
20,7,SKU-00000017,3,299.38,2026-08-01T00:07:00+00:00
21,7,SKU-00000036,3,131.00,2026-08-01T00:07:00+00:00
22,7,SKU-00000001,1,77.95,2026-08-01T00:07:00+00:00
23,8,SKU-00000030,3,306.07,2026-08-01T00:08:00+00:00
24,8,SKU-00000001,5,77.95,2026-08-01T00:08:00+00:00
25,9,SKU-00000007,2,362.40,2026-08-01T00:09:00+00:00
26,9,SKU-00000041,2,71.18,2026-08-01T00:09:00+00:00
27,9,SKU-00000020,3,109.62,2026-08-01T00:09:00+00:00
28,9,SKU-00000033,2,366.77,2026-08-01T00:09:00+00:00
29,9,SKU-00000039,5,194.64,2026-08-01T00:09:00+00:00
30,10,SKU-00000039,3,194.64,2026-08-01T00:10:00+00:00
31,11,SKU-00000024,3,225.58,2026-08-01T00:11:00+00:00
32,12,SKU-00000037,1,50.57,2026-08-01T00:12:00+00:00
33,12,SKU-00000006,4,490.39,2026-08-01T00:12:00+00:00
34,13,SKU-00000009,4,25.81,2026-08-01T00:13:00+00:00
35,13,SKU-00000043,5,421.59,2026-08-01T00:13:00+00:00
36,14,SKU-00000039,2,194.64,2026-08-01T00:14:00+00:00
37,14,SKU-00000028,3,178.34,2026-08-01T00:14:00+00:00
38,14,SKU-00000014,4,474.24,2026-08-01T00:14:00+00:00
39,14,SKU-00000035,3,241.99,2026-08-01T00:14:00+00:00
40,14,SKU-00000049,4,51.78,2026-08-01T00:14:00+00:00
41,15,SKU-00000016,2,279.92,2026-08-01T00:15:00+00:00
42,16,SKU-00000038,5,438.35,2026-08-01T00:16:00+00:00
43,17,SKU-00000001,1,77.95,2026-08-01T00:17:00+00:00
44,17,SKU-00000005,2,72.16,2026-08-01T00:17:00+00:00
45,18,SKU-00000005,3,72.16,2026-08-01T00:18:00+00:00
46,18,SKU-00000033,4,366.77,2026-08-01T00:18:00+00:00
47,18,SKU-00000016,2,279.92,2026-08-01T00:18:00+00:00
48,19,SKU-00000037,1,50.57,2026-08-01T00:19:00+00:00
49,19,SKU-00000031,1,86.79,2026-08-01T00:19:00+00:00
50,19,SKU-00000016,4,279.92,2026-08-01T00:19:00+00:00
51,19,SKU-00000027,3,230.40,2026-08-01T00:19:00+00:00
52,19,SKU-00000013,4,372.80,2026-08-01T00:19:00+00:00
53,20,SKU-00000044,1,244.08,2026-08-01T00:20:00+00:00
54,21,SKU-00000007,2,362.40,2026-08-01T00:21:00+00:00
55,21,SKU-00000016,5,279.92,2026-08-01T00:21:00+00:00
56,21,SKU-00000013,4,372.80,2026-08-01T00:21:00+00:00
