order_id,order_number,customer_id,order_status,order_total,currency_code,created_at,updated_at
1,ORD-0000000001,22,cancelled,1548.05,USD,2026-08-01T00:01:00+00:00,2026-08-01T00:01:00+00:00
2,ORD-0000000002,82,cancelled,807.98,USD,2026-08-01T00:02:00+00:00,2026-08-01T00:02:00+00:00
3,ORD-0000000003,5,shipped,2805.46,USD,2026-08-01T00:03:00+00:00,2026-08-01T00:03:00+00:00
4,ORD-0000000004,83,delivered,727.81,USD,2026-08-01T00:04:00+00:00,2026-08-01T00:04:00+00:00
5,ORD-0000000005,69,shipped,3512.10,USD,2026-08-01T00:05:00+00:00,2026-08-01T00:05:00+00:00
6,ORD-0000000006,15,paid,1398.74,USD,2026-08-01T00:06:00+00:00,2026-08-01T00:06:00+00:00
7,ORD-0000000007,50,delivered,3760.01,USD,2026-08-01T00:07:00+00:00,2026-08-01T00:07:00+00:00
8,ORD-0000000008,38,delivered,1307.96,USD,2026-08-01T00:08:00+00:00,2026-08-01T00:08:00+00:00
9,ORD-0000000009,98,paid,2902.76,USD,2026-08-01T00:09:00+00:00,2026-08-01T00:09:00+00:00
10,ORD-0000000010,100,cancelled,583.92,USD,2026-08-01T00:10:00+00:00,2026-08-01T00:10:00+00:00
11,ORD-0000000011,63,pending,676.74,USD,2026-08-01T00:11:00+00:00,2026-08-01T00:11:00+00:00
12,ORD-0000000012,31,pending,2012.13,USD,2026-08-01T00:12:00+00:00,2026-08-01T00:12:00+00:00
13,ORD-0000000013,9,cancelled,2211.19,USD,2026-08-01T00:13:00+00:00,2026-08-01T00:13:00+00:00
14,ORD-0000000014,22,shipped,3754.35,USD,2026-08-01T00:14:00+00:00,2026-08-01T00:14:00+00:00
15,ORD-0000000015,67,delivered,559.84,USD,2026-08-01T00:15:00+00:00,2026-08-01T00:15:00+00:00
16,ORD-0000000016,9,shipped,2191.75,USD,2026-08-01T00:16:00+00:00,2026-08-01T00:16:00+00:00
17,ORD-0000000017,30,cancelled,222.27,USD,2026-08-01T00:17:00+00:00,2026-08-01T00:17:00+00:00
18,ORD-0000000018,9,pending,2243.40,USD,2026-08-01T00:18:00+00:00,2026-08-01T00:18:00+00:00
19,ORD-0000000019,70,paid,3439.44,USD,2026-08-01T00:19:00+00:00,2026-08-01T00:19:00+00:00
20,ORD-0000000020,53,delivered,244.08,USD,2026-08-01T00:20:00+00:00,2026-08-01T00:20:00+00:00
21,ORD-0000000021,8,delivered,3615.60,USD,2026-08-01T00:21:00+00:00,2026-08-01T00:21:00+00:00
22,ORD-0000000022,18,delivered,680.67,USD,2026-08-01T00:22:00+00:00,2026-08-01T00:22:00+00:00
23,ORD-0000000023,57,cancelled,482.15,USD,2026-08-01T00:23:00+00:00,2026-08-01T00:23:00+00:00
24,ORD-0000000024,2,pending,1551.44,USD,2026-08-01T00:24:00+00:00,2026-08-01T00:24:00+00:00
25,ORD-0000000025,28,delivered,629.84,USD,2026-08-01T00:25:00+00:00,2026-08-01T00:25:00+00:00
26,ORD-0000000026,1,delivered,1923.99,USD,2026-08-01T00:26:00+00:00,2026-08-01T00:26:00+00:00
27,ORD-0000000027,25,shipped,920.50,USD,2026-08-01T00:27:00+00:00,2026-08-01T00:27:00+00:00
28,ORD-0000000028,96,shipped,482.15,USD,2026-08-01T00:28:00+00:00,2026-08-01T00:28:00+00:00
29,ORD-0000000029,62,cancelled,3585.24,USD,2026-08-01T00:29:00+00:00,2026-08-01T00:29:00+00:00
30,ORD-0000000030,16,cancelled,1411.55,USD,2026-08-01T00:30:00+00:00,2026-08-01T00:30:00+00:00
31,ORD-0000000031,11,delivered,3977.50,USD,2026-08-01T00:31:00+00:00,2026-08-01T00:31:00+00:00
32,ORD-0000000032,86,shipped,1825.45,USD,2026-08-01T00:32:00+00:00,2026-08-01T00:32:00+00:00
33,ORD-0000000033,10,cancelled,1631.68,USD,2026-08-01T00:33:00+00:00,2026-08-01T00:33:00+00:00
